google,twitter,linkedin,gmail,slideshare,usb,last-fm,wikipedia,wordpress,flickr,yahoo-mail,amazon,facebook,stackoverflow,exe,youtube,ebay,google-docs,blogspot,google-reader,company,REMOTE_ADDR,HTTP_USER_AGENT
yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,CMC,59.97.88.136,Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.9.1.8) Gecko/20100202 Firefox/3.5.8
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,Accenture ,117.97.205.90,"Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaE71-1/200.21.118; Profile/MIDP-2.0 Configuration/CLDC-1.1 ) AppleWebKit/413 (KHTML, like Gecko) Safari/413"
yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,,124.30.235.135,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30618)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,accenture,170.252.160.1,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1045 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,122.248.163.1,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2 (.NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)
yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,Infosys,171.159.64.10,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.1.13) Gecko/20080311 Firefox/2.0.0.13
yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,yes,yes,Wipro,203.91.193.50,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1042 Safari/532.5"
yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,SEEMIS,194.83.173.134,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; InfoPath.2)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,122.164.182.19,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.9) Gecko/20100315 Firefox/3.5.9 (.NET CLR 3.5.30729)
yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,Planetonline,59.92.5.113,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.8) Gecko/20100215 Ubuntu/9.04 (jaunty) Shiretoko/3.5.8
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,yes,INFOSYS,122.167.30.19,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/5.0.342.8 Safari/533.2"
yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes,yes,yes,,59.92.6.30,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.11) Gecko/2009060215 Firefox/3.0.11 (.NET CLR 3.5.30729)
yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,Aircel,58.68.11.206,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB6; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2; .NET CLR 3.0.04506.30)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Google,115.184.14.29,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8; en-US) AppleWebKit/532.9 (KHTML, like Gecko) Chrome/5.0.307.11 Safari/532.9"
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,,118.94.227.34,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-GB; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2 GTBDFff GTB7.0
yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,yes,cognizant technology solutions,117.192.19.250,Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.0.5;MEGAUPLOAD 1.0 (.NET CLR 3.5.30729)
yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,Arval India - A BNP Paribas Company,210.89.44.73,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.0; GTB6.4; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; .NET CLR 3.0.04506; eSobiSubscriber 2.0.4.16)
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,Infy,125.22.193.145,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2
